Parameter,Cohort_Total,HGG,LGG,P_Value,Significance
Cohort Patient Count,369 (100.0%),293 (79.4%),76 (20.6%),N/A,N/A
"Whole Tumor Volume (WT, cm³) [Median (IQR)]",90.74 (94.389),91.132 (85.566),86.324 (123.212),0.3468,ns
  └─ Mean ± Std,99.55 ± 59.43,96.435 ± 53.778,111.543 ± 76.721,-,-
"Tumor Core Volume (TC, cm³) [Median (IQR)]",33.81 (45.792),32.541 (42.311),44.594 (76.162),0.0084,* (p<0.05)
  └─ Mean ± Std,41.82 ± 35.34,37.659 ± 29.263,57.846 ± 49.659,-,-
"Enhancing Tumor Volume (ET, cm³) [Median (IQR)]",15.09 (25.625),19.458 (23.384),0.824 (3.926),< 0.001,*** (p<0.001)
  └─ Mean ± Std,19.7 ± 19.02,23.39 ± 18.503,5.463 ± 13.531,-,-
"Peritumoral Edema Volume (ED, cm³) [Median (IQR)]",49.55 (54.761),51.348 (53.861),34.2 (53.073),0.0285,* (p<0.05)
  └─ Mean ± Std,57.73 ± 40.12,58.776 ± 37.595,53.697 ± 48.719,-,-
"Necrotic Core Volume (NCR, cm³) [Median (IQR)]",10.56 (21.522),9.16 (16.631),42.835 (74.384),< 0.001,*** (p<0.001)
  └─ Mean ± Std,22.12 ± 29.86,14.269 ± 15.801,52.383 ± 47.265,-,-
Enhancing Fraction (ET / WT) [Median (IQR)],0.2 (0.212),0.224 (0.192),0.007 (0.046),< 0.001,*** (p<0.001)
  └─ Mean ± Std,0.2 ± 0.15,0.242 ± 0.132,0.053 ± 0.109,-,-
Core Fraction (TC / WT) [Median (IQR)],0.39 (0.327),0.365 (0.307),0.51 (0.386),< 0.001,*** (p<0.001)
  └─ Mean ± Std,0.41 ± 0.21,0.381 ± 0.196,0.501 ± 0.252,-,-
Edema Fraction (ED / WT) [Median (IQR)],0.61 (0.327),0.635 (0.307),0.49 (0.386),< 0.001,*** (p<0.001)
  └─ Mean ± Std,0.59 ± 0.21,0.619 ± 0.196,0.499 ± 0.252,-,-
Patient Age (years) [Mean ± Std],61.2 ± 11.9,61.2 ± 11.9,N/A,N/A,N/A
